Disease,Top_Class
ulcerative colitis,Diseases of the digestive system
upper gastrointestinal cancer,Neoplasms
uveal melanoma,Neoplasms
xeroderma pigmentosum,Neoplasms
yolk sac tumor,Neoplasms
epithelial cancer,Neoplasms
epithelial tumor,Neoplasms
celiac disease,Diseases of the digestive system
recurrent miscarriage,Diseases of the genitourinary system
uterine leiomyoma,Neoplasms
intrauterine growth restriction,Certain conditions originating in the perinatal period
ductal carcinoma in situ,Neoplasms
age-related disease,Diseases of the visual system
psychological disorder,"Mental, behavioural or neurodevelopmental disorders"
cardiovascular system disease,Diseases of the circulatory system
malignant neoplasm,Neoplasms
preterm birth,Certain conditions originating in the perinatal period
pineoblastoma,Neoplasms
invasive carcinoma,Neoplasms
inflammatory disease,Diseases of the musculoskeletal system or connective tissue
substance use disorder,"Mental, behavioural or neurodevelopmental disorders"
nervous system disease,Diseases of the nervous system
Mental Disorder,"Mental, behavioural or neurodevelopmental disorders"
Intrahepatic Cholangiocarcinoma,Neoplasms
Neoplasm,Neoplasms
Neoplastic Disease,Neoplasms
Placental Dysfunction,"Pregnancy, childbirth or the puerperium"
Embryonal Tumor,Neoplasms
Brain Cancer,Neoplasms
Autoimmune Disease,Diseases of the immune system
Autism Spectrum Disorder,"Mental, behavioural or neurodevelopmental disorders"
Blood Cancer,Neoplasms
Myelodysplastic Syndrome,Neoplasms
